貼文編號,粉絲專頁編號,粉絲專頁名稱,標題,說明,期間（秒）,發佈時間,說明文字類型,永久連結,多文發佈貼文,是分享的貼文,貼文類型,語言,自訂標籤,贊助內容狀態,資料留言,日期,觸及人數,心情、留言和分享,心情,留言,分享,總點擊次數,符合目標廣告受眾的用戶瀏覽情形（Photo Click）,其他點擊次數,連結點擊次數,,,,,,,
1.13E+15,1.00E+14,MindDuo親子共讀,"#留言有驚喜
#已開獎

邁入冬天~車站即將休息
站長與森林中的小動物一起清掃完了車站，和大家相約春天再見！
/
當揮別了小動物夥伴們，站長在車廂中休息，逐漸睡著了......
「噓！雪人電車來了！」
一回過神，站長發現車子自己啟動了！
駕駛的竟然是活過來的雪人先生！
/
雪人先生一臉神秘的跟站長說：噓！我們去探險！
帶站長穿越森林、翻山越嶺，展開大冒險！
這趟旅程中站長會發現甚麼驚喜嗎？

帶孩子翻開繪本一起探索吧！
/

#小編讀後心得：
翻開繪本，溫暖的手繪畫風帶你走進森林的冬日童話，
細膩的細節和半翻頁的頁面設計，
讓孩子感受到閱讀的樂趣，
更能啟發孩子們去發現在生活中每一個小驚喜～

❓ 如果有一輛雪人電車邀請你去探險，
你最想帶孩子去哪裡呢？🌍✨
留言分享，和我們一起展開這場奇幻旅程吧！",,0,01/06/2025 04:00,N/A,https://www.facebook.com/MindDuoRead/posts/pfbid0PxPfoBdSvbwn5AR8w1vnersgqLgQ9E9ArzRU9zGQRDyn4EWLa5B89ej83adQjsBBl,0,0,相片,,,,,總期間,21055,10867,863,316,296,251,748,625,123,,,,,,,
8.67E+14,1.00E+14,MindDuo親子共讀,"快來跟著MindDuo小編探索比利時Smart Games「變形高塔」桌遊！
#上誼  #和誼玩具國  #FlexiQ  #SmartGames","快來跟著MindDuo小編探索比利時Smart Games「變形高塔」桌遊！
#上誼  #和誼玩具國  #FlexiQ  #SmartGames",28,01/08/2024 06:00,N/A,https://www.facebook.com/reel/1337477773638400/,0,0,連續短片,,,,,總期間,1998,34,29,3,2,0,,,,,,,,,,
8.67E+14,1.00E+14,MindDuo親子共讀,"#德國比利時SMARTGAMES桌遊
今天小編又要來介紹有助幼兒發展的桌遊啦❤️‍🔥
🇧🇪比利時兒童桌遊品牌SMART GAMES，
致力於提供讓孩子提升專注力的趣味桌遊！
🧑‍🔬心理學家契克米海Mihaly Csikszentmihalyi，
提出「心流經驗」理論（Flow）🧠
許多具有創造力與高成就的人，自小擁有「心流經驗」！
他們在做自己的事情時，全神貫注、渾然忘我👁️
這樣的意識經驗會產生幸福感、成就感，
促使一個人主動地挑戰與學習💪
 SMARTGAMES桌遊就是以此為出發點，
開發讓孩子正向成長的桌遊！
/
🏰「變形高塔」便是SMART GAMES去年推出的最新作品！
利用層層堆疊的城堡，
培養孩子的多元能力包括：
📌空間洞察力📌策略規劃能力📌自信心與成就感等！
在遊玩的同時也可以增進親子感情～
好完程度就連大人都會和孩子搶著玩呢！
/
想看小編實際遊玩的影片，
就趕緊看留言處吧！
#上誼  #和誼玩具國  #FlexiQ  #SmartGames",,0,01/08/2024 06:00,N/A,https://www.facebook.com/MindDuoRead/posts/pfbid024qgyXiJNXHKDHpNRvTsYtYSrKzctuNMNgDyJHAd5hquT6bs7eX6GxKaxW88VTtMEl,0,0,相片,,,,,總期間,8463,64,62,2,0,358,145,213,,,,,,,,
1.13E+15,1.00E+14,MindDuo親子共讀,"#留言區有驚喜 
#已開獎
有一天，大王豬使用魔法攻擊了豬王國！
這時候出現了五位小豬戰士…

他們分別是
香蕉豬🍌
蘋果豬🍎
桃子豬🍑
青椒豬
以及什麼都愛吃的小豬仔！

大王豬的招式都被破解了
但他緊接著攻擊小豬仔！🐷
大王豬丟出了
一大顆「高麗菜」🥗
然後再丟出了一堆「咖哩飯」🍛
最後他又丟出了一顆「大漢堡」🍔

小豬戰隊成功抵抗了大王豬
他們把所有食物都吃光光了！
什麼都不剩下….

告訴小編
家裡的食物也都會被吃光光嗎？",,0,01/08/2025 04:00,N/A,https://www.facebook.com/MindDuoRead/posts/pfbid02RyTt8TSnYbxPdEPopCoNBQ3BnuyKoRge8RnoMrP7ZDGsi8xR8Hfq8BqfixMEPX37l,0,0,相片,,,,,總期間,8324,2959,570,204,196,170,247,216,31,,,,,,,
8.68E+14,1.00E+14,MindDuo親子共讀,"#屢獲大獎的德國插畫家
"" 跟著螢火蟲從夏夜走到秋天 ""
/
今天介紹這本書非常溫馨
小編覺得特別適合當床邊故事
《大刺蝟與小刺蝟 1: 等一下》

故事的開始🦔
大刺蝟與小刺蝟走在回家的路上，
一路上，
小刺蝟不斷的說：「等一下！」
回家的路也顯得特別漫長😪
／
乍看之下，
是小刺蝟不願意早點回家
但其實，
在漫長的回家路途中
還有漫天飛舞的螢火蟲
以及無數的星星閃爍🌟
還有好多好多令人著迷的景象！
/
我們在這忙碌的生活中
偶而也像小刺蝟一樣
慢慢來、等一下
用心體會身邊的事物
一定會收穫很多意想不到的美好❤️

小光點",,0,01/09/2024 06:00,N/A,https://www.facebook.com/MindDuoRead/posts/pfbid0LUu6XG9G5nav7r2Yb9r6a2dmWFaJhzJ54zVoM4cKWLRWCvA8MpaGS8jFbnPskFSGl,0,0,相片,,,,,總期間,5026,78,73,2,3,110,40,70,,,,,,,,
8.69E+14,1.00E+14,MindDuo親子共讀,"#已開獎
恭喜 蕭雅云 抽中獲得《通心粉大變身》
#日本繪本出版獎大獎
每個人生來都有無限可能，
誰也不知道未來會變成什麼模樣！
但也因為如此的不確定性，
人類才會對未來懷抱著無限的想像與期待☘️
........其實不只人類喔！
就連「通心粉」也都期待著同樣的事🍝
/
《通心粉大變身》
講述在小男孩太郎生日的這天🎂
爸爸決定做好多好多好吃的料理！
廚房裡的各種食材都期待著，
自己會蛻變成什麼樣每問的佳餚🤤
可愛的通心粉也在櫥櫃上默默期待著，
自己能變成超美妹的「焗烤起司通心粉」🧀
/
但事與願違，
爸爸已經在廚房裡忙進忙出了一陣子，
通心粉卻始終在櫥櫃上，
眼看就要錯失難得成為美味料理的機會😱
通心粉們決定放手一搏！
化被動為主動，一一跳進一整鍋的熱水裡🔥
究竟爸爸會不會注意到通心粉的存在呢？
或是會被當成廚餘丟到垃圾桶？
/
《通心粉大變身》
有著日式繪本對於世界獨特且可愛見解的特色，
每個日常所見的食物都有著自己的生命力！
而這次通心粉的奮不顧身，
最終也讓它們成為最獨特的料理！
甚至是當初想都沒想過的唷～
只要保持主動，追尋理想，
相信結果便會在意想不到處出現
/
👉留言發揮孩子與爸媽的想像力，
想像通心粉能變成什麼美味獨特的料理吧！？

球球館",,0,01/10/2024 06:00,N/A,https://www.facebook.com/MindDuoRead/posts/pfbid02i3FADcquPpbLBJCogJyBiDm98DJg7ejyiibQ39AiqEjKavfRcAK9avNvzWR9t1HSl,0,0,相片,,,,,總期間,8591,906,384,272,250,647,446,201,,,,,,,,
1.13E+15,1.00E+14,MindDuo親子共讀,"#通緝壞米粒😡！
和大家不一樣，就是「壞米粒」嗎？
今天要跟大家介紹的繪本
是一群米粒的故事🍚
/
在圓滾滾的、白皙的米粒世界裡
突然有一天出現一顆石頭
黑黑的、凹凸不平的小石頭
立刻被貼上「壞」標籤驅逐出境

他大聲拋下一句：
「難道在你們之中就不會有壞米粒嗎？」
米粒們也開始緊張不安，
害怕自己也有哪裡和不一樣……

每顆米粒都變成了小偵探，
緊張兮兮地檢視鄰居：
「這個顏色深的該不會是石頭偽裝的？」
「那個形狀不完美的恐怕是劣質米！」
/
但......
「不一樣」的外表就是壞米粒嗎?
如同很多人對自己的外表沒有自信
拼命美肌、修圖
只為了成為大家口中好看的人😫

這顆不速之客石頭的出現，
讓每一粒米思考：
「什麼才是真正的好？」
「不一樣就是不好嗎？」

或許，它不是來壞了這鍋米，
而是來讓這鍋米變得更好！
讓每一顆米粒發揮自身最獨一無二的價值😋",,0,01/10/2025 04:00,N/A,https://www.facebook.com/MindDuoRead/posts/pfbid02pKTeSHFBfYjSc9MM8emqpMHUR8WZxJUXVUDg3Jvc5Rr6ALfbMBfJWL5aLJm3ueC5l,0,0,相片,,,,,總期間,3941,1489,46,44,1,1,54,44,10,,,,,,,
1.56E+15,4.94E+14,MindDuo親子共讀,"繽紛色彩❌立體線條
今天就讓《泡泡糖大街公寓》激發孩子靈感創造力✨

位於泡泡糖大街的公寓裡......
有愛曬太陽的貓咪🐱、會跳舞的蝙蝠🦇、植栽迷黑豹等各種動物
絢爛色彩和多元活潑的動物線條
讓你的寶貝跟著繪本一起開一場腦內派對👼

🏆《泡泡糖大街公寓》不僅獲選義大利波隆納插畫展
也在2022年獲選國際兒童讀物聯盟榮譽作品🏅
除了激發創意外
也能帶領孩子探索自身興趣
最適合剛開始接觸人群的寶貝們❤️
 #MindDuo3到6歲推薦書單",,0,01/11/2023 06:00,N/A,https://www.facebook.com/MindDuoRead/posts/pfbid035pG2MUMTzBybvp6wmG35ZezoadrPoJa3smhv8cvnBGHV4iiBsW8A6eC3gJJt8Gm7l,0,0,相片,,,,,總期間,101,85,79,5,1,7,5,2,,,,,,,,
8.70E+14,1.00E+14,MindDuo親子共讀,"#已開獎
恭喜廖怡潔 抽中猛龍粿江紅包袋
------------------------------------------------
#多項國際獎項得主許智偉最新創作
轉眼間就來到1月中了
那就代表農曆新年要來啦！
/
今天要介紹的繪本
就是要與我們介紹
過年就是要吃......
阿媽的菜頭粿！外婆的蘿蔔糕！

以雙封面雙故事
來敘述二家人不同的過年儀式，
也分享菜頭粿和蘿蔔糕的製作方式

不論是菜頭粿還是蘿蔔糕，
有家人一起享用最美味！
/
小編從小就很喜歡農曆過年
除了可以放長假穿新衣拿紅包😎🧧
更喜歡跟我的外婆去到大街小巷
採買過年的食物

大家忙碌的準備過年
街上也充滿著「年味」
與鄰居互相道聲恭喜發財、新年快樂
除夕時一家人團園一起吃飯
真的覺得是一整年很幸福的節日><
/
於是在這即將到來的新年🧨
跟小編分享
過年你必吃的食物是什麼吧！",,0,01/12/2024 06:00,N/A,https://www.facebook.com/MindDuoRead/posts/pfbid0JtwjdrJ8EUpgqGpthVKB4k16UHaXkG3C2W71rHEzhcHFoWxVjsGP1P4ifqX7ojcGl,0,0,相片,,,,,總期間,9428,645,285,188,172,494,337,157,,,,,,,,
8.70E+14,1.00E+14,MindDuo親子共讀,"#投票日勇氣繪本
今天是投票日🗳️
小編在這邊提醒大家記得鼓起勇氣，
前往投票所投自神聖的一票🙏
/
疑？投票這件小事也需要鼓起勇氣嗎？
即便只是「鼓起勇氣」做一件小小的事，
這樣的勇氣將帶來突破未知的動能🔥
並且學會堅韌前行，將惱人恐懼拋之腦後，
在不知不覺當中回頭看，
會發現自己已經漸漸成為那個理想中的自己了！
就如同現今自由民主的生活，
便是由大家「鼓起勇氣」一起創造的🫵
/
《勇氣帽》
講述了一個充滿溫暖且可愛的故事！
主角小梅與小熊（真的動物的小熊唷🐻）
他們有一個共通點，
那就是都不喜歡搭火車！
對於小梅來說，
火車會經過未知的森林，
其中會吃小小東西的熊更是令小梅感到可怕😱
（👉畢竟人類小小的）
對於小熊來說，
火車會經過擁擠的城市，
其中會吃大大東西的人更令小熊感到慌張😱
（👉畢竟人類大大的）
/
但還好，即便無法發自內心破除害怕，
那只要「假裝」它存在就好了！
於是小梅與小熊不約而同地，
戴上了小熊/人類的頭套，
並且展開了一段培養勇氣的相遇🚂
猜猜最終小梅與小熊是否能夠找到真的勇氣，
卸下心中的屏障與彼此相處呢？
/
鼓起勇氣有時很難，
那就先從簡單的地方開始吧！
告訴小編您或是孩子，鼓起勇氣做一件事的撇步吧🫶",,0,01/12/2024 22:30,N/A,https://www.facebook.com/MindDuoRead/posts/pfbid0o3CV2vZheXgaYdAZnB59J5mR9rG899asB2zeuonFE4UuPvetGRhakmtNajen1HPRl,0,0,相片,,,,,總期間,5578,128,119,0,9,101,39,62,,,,,,,,
1.56E+15,4.94E+14,MindDuo親子共讀,"獲獎作家最新療育系繪本✨
今天就讓孩子來爬一座爸爸山！

《爬爸爸山》串聯親子三代的兒時遊戲
不需要任何工具就能培養孩子肌力💪
並藉由肢體接觸增進親子關係🥰
在溫馨動人的故事情節中
讓孩子練習肢體協調同時也感受親情互動

本書獲眾多繪本創作者及知名Youtuber HowHow暖心推薦👍
 #mindduo3到6歲推薦書單",,0,01/13/2023 06:00,N/A,https://www.facebook.com/MindDuoRead/posts/pfbid0DtfShva4nf3Svqtw8u268VcQmqcCGvfc62TjN22zhqD8aSzvU2d6k3jgYijmj7Ryl,0,0,相片,,,,,總期間,90,63,59,1,3,5,5,,,,,,,,,
1.14E+15,1.00E+14,MindDuo親子共讀,"#留言處有驚喜 
#已開獎

好想吃壽司啊🍣
還記得去年小編也給大家介紹過
貓咪師傅開的貓咪拉麵店嗎？
這次小編要帶給大家新的系列
就是！「貓咪壽司店」！
/
店長阿文😺
有著像飯糰一樣的毛色
綁著頭繩在做醋飯
做醋飯的第一步是洗米，
嘩啦嘩啦，撥挖撥挖……
細心將飯煮好後，
在飯上灑上家傳祕釀的醋，充分攪拌，
接著把醋飯和生魚片放在手掌上，捏一捏！
「好了！壽司放上迴轉檯喵🍣！」
/
貓顧客們都開心的從迴轉壽司檯上，
選了自己喜歡的壽司，
一盤接一盤的把壽司拿下來享用
但......阿文卻發現他們居然都沒吃醋飯！

醋飯是靈魂啊
阿文非常煩惱😟
他靈光一閃💡
還是把剩下的飯 做成飯糰🍙?

果真做成飯糰的醋飯
馬上熱銷一空😎💖
/
大家都喜歡吃迴轉壽司嗎
告訴小編
自己心中第一名的壽司是哪一種嗎~~",,0,01/13/2025 04:00,N/A,https://www.facebook.com/MindDuoRead/posts/pfbid02CcQAN86FuWtPsf1foEpZRLCCJETmUbwJn1PTxkGTBrZi8Hu7nBV8SvuteBytYGyzl,0,0,相片,,,,,總期間,25811,14013,974,370,305,299,699,563,136,,2,,,,,
1.57E+15,4.94E+14,MindDuo親子共讀,"剪刀、石頭、布！
不管是3歲的小小孩👶
還是30歲的成年人🧑‍🦰
「剪刀石頭布」一直是大家最熟悉的遊戲！
你知道嗎？
剪刀石頭布是來自於「一物剋一物」這個概念唷！
每個物品天生就有擅於對付的事物😎
但同時自己也必定害怕某些東西😱

《吱吱嘎嘎猜拳大對決》中，
 兩隻小鳥吱吱、嘎嘎為了爭最後一塊仙貝🍘
吵得面紅耳赤🤬
最後牠們決定用「猜拳」的方式，
來決定誰才是笑著吃仙貝的贏家！

但這並不是普通的猜拳，
而是各自拿出不同物品來對付彼此，
看看誰在邏輯上才是贏家！
例如：氣球雖然可以很大很大🎈
但卻會被細的針戳破🪡

小編印象最深刻的是，
兩隻小鳥分別拿出鉛筆與橡皮擦
鉛筆可以一直寫，
但橡皮擦可以一直擦，
那麼到底誰算贏呢？

#MindDuo3到6歲書單推薦",,0,01/16/2023 06:00,N/A,https://www.facebook.com/MindDuoRead/posts/pfbid03wvdYsTMubWi9DQds7TsRqsmykoj7joxdkrPVzpQvAp5n23JiaHFuZntDWFqS2YQl,0,0,相片,,,,,總期間,97,60,52,7,1,2,2,,,,,,,,,
8.73E+14,1.00E+14,MindDuo親子共讀,"#已開獎
#榮獲各大日本繪本獎
我們的生活中，總是充滿了
各式各樣的”凸槌”、”小意外”，
那些會讓我們
出糗、尷尬、扼腕的大型「社死現場」😅
比如
打翻飲料、
不小心把口香糖吞進去、
上廁所沒衛生紙......
/
作者將它們用很可愛的方式
蒐羅在這本繪本裡，
做成「百科全書」😆

百科全書裡的「各大危機」，
會紀錄發生機率、狀況的緊急度，
以及列出危機指數，
並且提供當下的處理方法，
和可能的連鎖反應。
/
但尷尬又怎樣呢！🤩
先哈哈大笑，再解決就好了！

留言處跟小編分享
你發生過最尷尬的事情是什麼？",,0,01/16/2024 06:00,N/A,https://www.facebook.com/MindDuoRead/posts/pfbid0kLouRU9LP43cuaJZtfyURw8NAnRC8sUfwjiefECnbSJGYyXo6VqEHpoqPRKKVzokl,0,0,相片,,,,,總期間,3948,577,228,184,165,273,196,77,,,,,,,,
1.14E+15,1.00E+14,MindDuo親子共讀,"#留言處有驚喜🌟🌟
#已開獎

MindDuo親子共讀 X瑞穗鮮乳 - 香純  來自用心
去吧～營養價值都藏在瑞穗極制鮮乳了！
 
新的一年，舊的威脅
農曆新年將近的同時?
3C壞蛋們竟然把惡勢力帶進門
更可惡的是
他們打擾到小怪獸的共讀時光了！！
 
然而就在此時
「乳鐵蛋白」超人
與「免疫球蛋白超人」及時趕到～
來自瑞穗極制鮮乳王國的守衛者
遠從香純的鮮奶大河來支援小怪獸?
 
究竟接下來劇情會怎麼進展呢？
粉絲們接受挑戰吧～
立即點開留言區完成故事接龍！",,0,01/16/2025 04:00,N/A,https://www.facebook.com/MindDuoRead/posts/pfbid028P7Z9hKLwz2xvJaFKPPswQDQW9UzT8LEHpuAq3aobqqF8Ef3BqL3VhJhFCGBGV8ql,0,0,相片,,,,,總期間,17088,2641,1538,535,521,482,623,578,45,,,,,,,
